eye,channel 2,channel 3,alpha,eye filtered,channel 2 filtered,channel 3 filtered,alpha filtered
9295.736328125,-15459.9814453125,-5186.81396484375,-8089.93896484375,-0.22742420620641904,-0.70117928826745435,-0.50583519149335976,-0.56168043446723837
9318.69140625,-15234.3525390625,-5123.54833984375,-8075.849609375,-0.24295725195272089,-0.67514536433425876,-0.49698421716645391,-0.54799604155019355
9263.37890625,-15225.609375,-5211.07763671875,-8153.1484375,-0.25546177066214182,-0.654359574696879,-0.48998399903842077,-0.53714111857270386
9203.79296875,-15437.1201171875,-5325.091796875,-8222.8427734375,-0.26026684979674525,-0.64654510585898473,-0.48741979322581047,-0.53314584356558925
9223.5859375,-15585.1015625,-5309.28955078125,-8183.1435546875,-0.25707017275379018,-0.65210945793770547,-0.48939211704347185,-0.53618038798829459
9292.564453125,-15463.6142578125,-5186.97412109375,-8087.62353515625,-0.24919643371444491,-0.66542695083023629,-0.49396204055446913,-0.54324273998517902
9319.162109375,-15233.185546875,-5118.6728515625,-8065.17626953125,-0.24135115766928344,-0.67859330188878308,-0.49843104556745788,-0.55015387902662316
9265.3642578125,-15217.8349609375,-5201.83544921875,-8146.18359375,-0.23718069353153998,-0.68549998305943982,-0.5007310528796588,-0.55371673294553636
9203.953125,-15429.9013671875,-5317.345703125,-8222.4091796875,-0.23781518857178577,-0.6842866608097723,-0.50025792427947513,-0.55299792517011526
9224.404296875,-15578.55078125,-5303.322265625,-8183.93408203125,-0.2418824362587981,-0.67732562306790023,-0.49785127190725442,-0.54928759444503117
9294.96484375,-15459.953125,-5180.6962890625,-8084.16015625,-0.24668848272185834,-0.66920804835497161,-0.49508721775925535,-0.54501182137351034
9319.171875,-15232.009765625,-5115.12451171875,-8054.748046875,-0.24977247320328985,-0.66407883688356084,-0.4933627365291573,-0.54233190147149968
9265.8544921875,-15215.115234375,-5199.26611328125,-8145.82568359375,-0.25002701287417689,-0.6637403327424789,-0.49326475829197425,-0.54217199724217358
9205.4404296875,-15424.3203125,-5316.53662109375,-8221.8916015625,-0.24794132039556288,-0.66729474757757046,-0.4944713633232648,-0.5440506517047079
9224.2919921875,-15576.8662109375,-5305.1201171875,-8187.44482421875,-0.24502786348954861,-0.67217217515483019,-0.4961101984053165,-0.54661817760527198
9290.27734375,-15464.8564453125,-5185.1484375,-8091.6328125,-0.24287377217727038,-0.67573433052780429,-0.49729416319706948,-0.54848682446342734
9313.3173828125,-15237.412109375,-5117.251953125,-8057.345703125,-0.24235541999579716,-0.67654815378292465,-0.49754280153533242,-0.54889923064355106
9260.6396484375,-15219.001953125,-5199.34130859375,-8146.42822265625,-0.24336731346926074,-0.67480252368693661,-0.49692430956427031,-0.54795863360687702
9199.943359375,-15429.4677734375,-5318.126953125,-8231.642578125,-0.24508836115701207,-0.67187236179424725,-0.4959137037553028,-0.54640346660506312
