eye,channel 2,channel 3,alpha,eye filtered,channel 2 filtered,channel 3 filtered,alpha filtered
8420.2353515625,-15407.265625,-5378.45654296875,-8291.0966796875,-0.25576994811137627,-0.67732868501872301,-0.49983373459805125,-0.55079263688105162
8373.873046875,-15432.9599609375,-5456.97900390625,-8379.8583984375,-0.26014227132911472,-0.66928780638707319,-0.4970117351280991,-0.54643243463132107
8321.0537109375,-15623.7744140625,-5560.01904296875,-8450.908203125,-0.26291399978075491,-0.66417044428125072,-0.49520084365175837,-0.54367211683206629
8334.541015625,-15719.4638671875,-5547.5859375,-8417.6376953125,-0.26310747555689878,-0.66379031235754538,-0.4950508602093236,-0.54349440200994259
8393.966796875,-15596.0654296875,-5440.20703125,-8324.630859375,-0.26119447895754466,-0.66731016301636548,-0.49627739963391992,-0.54542939842033022
8417.8447265625,-15417.806640625,-5384.24462890625,-8306.220703125,-0.25855481832543714,-0.67220064256017253,-0.49799054056190584,-0.54808388700191135
8376.30078125,-15439.689453125,-5459.77392578125,-8391.33203125,-0.25661809278758657,-0.67580703482791404,-0.49925076395312973,-0.55001132729531022
8327.5576171875,-15621.0732421875,-5559.2001953125,-8440.4609375,-0.25616919532680965,-0.67665945073861666,-0.49954043358199923,-0.55043108479963732
8339.9345703125,-15717.2890625,-5550.04248046875,-8405.1669921875,-0.25711131745817961,-0.6749435846613232,-0.49893135336139804,-0.54947044789453636
8397.9482421875,-15599.3037109375,-5445.1953125,-8324.5458984375,-0.25869857889802778,-0.67206168145453582,-0.49792159981762196,-0.54790575827630739
8421.67578125,-15428.30078125,-5388.79052734375,-8311.943359375,-0.26002898863412383,-0.66968148432033459,-0.49709406400466355,-0.54663906633975801
8379.228515625,-15449.5439453125,-5463.47314453125,-8391.5478515625,-0.26051133255628312,-0.66885831001672913,-0.49681219455265302,-0.54623010661955296
8329.0068359375,-15629.1298828125,-5564.66845703125,-8448.6962890625,-0.26008807085068225,-0.66965751345695412,-0.49709693762881524,-0.54670077497373581
8340.4140625,-15722.0615234375,-5554.35302734375,-8405.6279296875,-0.25915325482301838,-0.67134894949025936,-0.49769673539773102,-0.54764177731321007
8397.091796875,-15604.150390625,-5450.06103515625,-8334.484375,-0.25826497882798721,-0.67293702060286775,-0.49826548341384419,-0.54850036995499896
8420.7626953125,-15430.3154296875,-5391.26611328125,-8331.5478515625,-0.25783707504546038,-0.67368996534899961,-0.49854213664357949,-0.54887554602303468
8382.8896484375,-15440.6025390625,-5457.9013671875,-8382.5595703125,-0.25796952013784658,-0.67342688653132332,-0.49845627812459775,-0.54868307843414621
8331.6142578125,-15618.27734375,-5558.14599609375,-8432.0185546875,-0.25847143814626761,-0.67249152632331943,-0.4981283505412461,-0.54813695113530714
8338.8046875,-15716.7431640625,-5551.953125,-8400.9033203125,-0.25901918046110739,-0.67148713997109977,-0.49777746278128099,-0.54758635380410747
8393.9765625,-15603.2939453125,-5448.24462890625,-8319.79296875,-0.25933935181659246,-0.67093214059253892,-0.4975910466174282,-0.54731277968503045
8421.81640625,-15426.8515625,-5387.5107421875,-8308.197265625,-0.25932529074126176,-0.67101357159991892,-0.49763086217142644,-0.54739928680603356
8381.1298828125,-15440.677734375,-5458.37158203125,-8391.5009765625,-0.25905140783526232,-0.67155339976249373,-0.49782558713027958,-0.547728693845695
8327.275390625,-15620.9501953125,-5562.14599609375,-8448.9130859375,-0.2587022225000648,-0.67217635654441643,-0.49804015951368591,-0.54808551345898082
